id,group,name
1,LPnetlib,lp_fit2p
2,Pereyra,landmark
3,Bydder,mri2
4,Pajek,IMDB
5,Mittelmann,rail2586
6,Mittelmann,rail4284
7,Mittelmann,stormG2_1000
8,Mittelmann,neos
9,Mittelmann,neos1
10,Mittelmann,neos2
11,Mittelmann,neos3
12,Mittelmann,spal_004
13,Meszaros,bas1lp
14,Meszaros,cari
15,Meszaros,dbir1
16,Meszaros,dbir2
17,Meszaros,jendrec1
18,Meszaros,south31
19,Meszaros,degme
20,Meszaros,tp-6
21,Meszaros,nsct
22,Meszaros,scagr7-2r
23,Rucci,Rucci1
24,NYPA,Maragal_6
25,NYPA,Maragal_7
26,JGD_BIBD,bibd_18_9
27,JGD_BIBD,bibd_19_9
28,JGD_BIBD,bibd_20_10
29,JGD_BIBD,bibd_22_8
30,JGD_Forest,TF19
31,JGD_G5,IG5-16
32,JGD_G5,IG5-17
33,JGD_G5,IG5-18
34,JGD_GL7d,GL7d14
35,JGD_GL7d,GL7d15
36,JGD_GL7d,GL7d16
37,JGD_GL7d,GL7d17
38,JGD_GL7d,GL7d18
39,JGD_GL7d,GL7d19
40,JGD_GL7d,GL7d20
41,JGD_GL7d,GL7d21
42,JGD_GL7d,GL7d22
43,JGD_Groebner,c8_mat11
44,JGD_Groebner,c8_mat11_I
45,JGD_Groebner,f855_mat9
46,JGD_Groebner,f855_mat9_I
47,JGD_Groebner,HFE18_96_in
48,JGD_Kocay,Trec13
49,JGD_Kocay,Trec14
50,JGD_Relat,rel8
51,JGD_Relat,rel9
52,JGD_Relat,relat8
53,JGD_Taha,abtaha2
54,NYPA,Maragal_8
55,Yoshiyasu,mesh_deform
56,Priebel,176bit
57,Priebel,192bit
58,Priebel,208bit
59,Buss,12month1
60,ANSYS,Delor295K
61,ANSYS,Delor338K
62,Harvard_Seismology,JP
63,Hardesty,Hardesty2
64,Hardesty,Hardesty3
